release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,peak-rank
10/14/2021,day,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4,224695,85,1
7/9/2021,day,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4,141806,89,1
7/23/2021,day,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,4,212000,86,1
1/21/2022,day,0.647,0.765,1,-6.459,1,0.06,0.111,0,0.315,0.855,79.994,4,161853,78,3
10/29/2021,day,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,4,230747,89,2
9/3/2021,day,0.803,0.597,11,-6.035,0,0.141,0.000619,4.50E-06,0.323,0.331,136.008,4,257605,81,1
10/29/2021,day,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,4,207853,88,7
5/21/2021,day,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4,178147,88,1
6/25/2021,day,0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,4,210560,84,9
3/27/2020,day,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4,203064,85,2
10/29/2020,day,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58E-06,0.618,0.602,104.027,4,248040,75,9
6/25/2021,day,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92E-05,0.12,0.781,110.97,4,208667,81,3
8/7/2020,day,0.761,0.525,11,-6.9,1,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,4,238805,84,12
12/8/2017,day,0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,4,211560,86,14
8/13/2021,day,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19E-05,0.0952,0.942,116.032,4,202735,89,15
